电影详情链接	图片链接	影片中文名	影片外文名	评分	评价数	概况	相关信息
https://movie.douban.com/subject/1303021/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg	小鞋子	???????????	9.2	323921	奔跑的孩子是天使	导演:马基德·马基迪MajidMajidi主演:法拉赫阿米尔·哈什米安AmirFa...1997伊朗剧情儿童家庭
https://movie.douban.com/subject/1294408/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg	音乐之声	TheSoundofMusic	9.1	478957	用音乐化解仇恨，让歌声串起美好	导演:罗伯特·怀斯RobertWise主演:朱莉·安德鲁斯JulieAndrews克...1965美国剧情传记爱情歌舞
https://movie.douban.com/subject/1292220/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg	情书	LoveLetter	8.9	722048	暗恋的极致	导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama丰川悦司Ets...1995日本剧情爱情
https://movie.douban.com/subject/3442220/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg	海豚湾	TheCove	9.3	305612	海豚的微笑，是世界上最高明的伪装	导演:路易·西霍尤斯LouiePsihoyos主演:RichardO'Barry路易·西霍...2009美国纪录片
https://movie.douban.com/subject/1292262/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg	美国往事	OnceUponaTimeinAmerica	9.2	332432	往事如烟，无处祭奠	导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...1984美国意大利犯罪剧情
https://movie.douban.com/subject/1780330/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg	致命魔术	ThePrestige	8.9	688920	孪生蝙蝠侠大战克隆金刚狼	导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...2006英国美国剧情悬疑惊悚
https://movie.douban.com/subject/1293544/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg	沉默的羔羊	TheSilenceoftheLambs	8.9	681946	安东尼·霍普金斯的顶级表演	导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster安...1991美国剧情犯罪惊悚
https://movie.douban.com/subject/2334904/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg	禁闭岛	ShutterIsland	8.8	757785	昔日翩翩少年，今日大腹便便	导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio...2010美国剧情悬疑惊悚
https://movie.douban.com/subject/1291832/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg	低俗小说	PulpFiction	8.9	664615	故事的高级讲法	导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...1994美国剧情喜剧犯罪
https://movie.douban.com/subject/1292343/	https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg	蝴蝶效应	TheButterflyEffect	8.8	746043	人的命运被自己瞬间的抉择改变	导演:埃里克·布雷斯EricBressJ·麦基·格鲁伯J.MackyeGruber主...2004美国加拿大剧情悬疑科幻惊悚
https://movie.douban.com/subject/1292656/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg	心灵捕手	GoodWillHunting	8.9	561598	人生中应该拥有这样的一段豁然开朗	导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon罗宾·...1997美国剧情
https://movie.douban.com/subject/1292223/	https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg	七宗罪	Se7en	8.8	776190	警察抓小偷，老鼠玩死猫	导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman布...1995美国剧情犯罪悬疑惊悚
https://movie.douban.com/subject/11525673/	https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg	布达佩斯大饭店	TheGrandBudapestHotel	8.9	710466	小清新的故事里注入了大历史的情怀	导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes...2014美国德国英国剧情喜剧冒险
